"","Peso.Ave.S1","Peso.Ave.S4","Peso.Ave.S10","Peso.Ave.S14","X..Uniformidad.S1","X..Uniformidad.S4","X..Uniformidad.S10","X..Uniformidad.S14","gr.ave.dia..S1","gr.ave.dia..S4","gr.ave.dia..S10","gr.ave.dia..S14","Cosm.Acum.S1","Cosm.Acum.S4","Cosm.Acum.S10","Cosm.Acum.S14","Mort.Selc.Acum.S1","Mort.Selc.Acum.S4","Mort.Selc.Acum.S10","Mort.Selc.Acum.S14","Fecha.Encaseta","Sistema.Levante","Clima.Levante","PX.S25","PX.S40","PX.S72","PX.S80","HAA.S25","HAA.S40","HAA.S72","HAA.S80","gr.ave.dia..S25","gr.ave.dia..S40","gr.ave.dia..S72","gr.ave.dia..S80","Conv.Acu.S72","Conv.Acu.S80","Mort.selcc.Acu..S25","Mort.selcc.Acu..S40","Mort.selcc.Acu..S72","Mort.selcc.Acu..S80","gr.Hvo.S72","gr.Hvo.S80","G.P.S25","Peso.Hvo..Prom.Acu..S25","Peso.Hvo..Prom.Acu..S40","Peso.Hvo..Prom.Acu..S72","Peso.Hvo..Prom.Acu..S80","Masa.Hvo.S72","Masa.Hvo.S80","Sistema.Produccion","Clima.Produccion"
"STR-371-030718",63,276,935,1269,59.3,81,81.4,91.2,14.9,28.8,54.9,62.8,104.2,586.5,2435,4228.7,0.18,0.44,0.7,1.01,"2018-07-03","Piso","Frío",95.5,94,NA,NA,28.7,127.2,NA,NA,111,111,NA,NA,NA,NA,0.44,1.37,NA,NA,NA,NA,20.5,53.5,56.5,0,0,NA,NA,"Piso","Frío"
"STR-371A-030718",73,315,985,1280,86.5,81.5,80.2,81.1,12.4,31.6,59.5,71,86.7,647.4,2605.1,4492.4,0.27,0.39,0.81,0.88,"2018-08-03","Batería Automática","Frío",95.2,90.9,81.4,74.7,43.9,141.9,332,373.4,105,102,109,110,1.441,1.469,0.47,1.31,4.38,5.66,120.083,122.417,7.4,50.2,55.3,58.8,59.6,19.5,22.3,"Piso","Frío"
"TRA-11009-230816",80,303,992,1295,90,82,81,83,12.4,28.4,57.7,67.5,87,542.8,2609,4441.5,0.17,0.29,0.56,0.66,"2017-01-10","Batería Ambiente","Cálido",96.5,93.7,81.6,77.2,40.9,139,329.2,371.2,112,112,110,109,1.495,1.514,0.38,2.69,4.62,5.92,124.583,126.167,12.5,50.3,56.2,59.3,59.6,19.5,22.1,"Batería Ambiente","Cálido"
"TRA-11010-1-100117",85,337,1000,1304,92,82,85,85,11.8,27.7,61.6,66.6,82.4,533.3,2626.4,4497.6,0.08,0.18,0.5,0.62,"2017-05-30","Batería Ambiente","Cálido",95.2,89.1,75.9,69.8,37.9,130.4,297,333.4,111,107,107,106,1.512,1.539,0.81,6.65,10.5,11.4,126,128.25,7.1,48.7,52.8,56.1,56.5,16.7,18.8,"Piso","Cálido"
"TRA-11010-100117",85,337,1000,1304,92,82,85,85,11.8,27.7,61.6,66.6,82.4,533.3,2626.4,4497.6,0.08,0.18,0.5,0.62,"2017-05-30","Batería Ambiente","Cálido",96.3,92.1,81.6,75.5,37.9,135.5,324.7,366.5,105,108,110,111,1.505,1.527,0.6,1.41,4.24,5.05,125.417,127.25,8.1,49.3,54.8,56.9,57.6,18.5,21.1,"Batería Ambiente","Cálido"
"TRA-11011-1-300517",81,319,1013,1298,88,83,82,83,11.8,26.6,55.9,65.6,82.7,514.7,2582,4472.4,0.1,0.23,0.6,0.78,"2017-10-16","Batería Ambiente","Cálido",95,93.1,78.5,72.9,37.7,133.9,319.2,358.7,110,111,109,109,1.53,1.552,0.9,2.44,6.02,7.58,127.5,129.333,13.1,50,55.6,59.2,0,18.9,0,"Jaula Tradicional","Cálido"
"TRA-11011-300517",81,319,1013,1298,88,83,82,83,11.8,26.6,55.9,65.6,82.7,514.7,2582,4472.4,0.1,0.23,0.6,0.78,"2017-10-16","Batería Ambiente","Cálido",95.3,93,81,78.2,36.2,133.9,323.8,366.6,112,113,109,109,1.51,1.522,0.81,1.98,4.94,5.56,125.833,126.833,29.1,48.1,54.4,57.1,57.5,18.5,21.1,"Batería Ambiente","Cálido"
"TRA-11012-161017",80,323,978,1275,87,81,82,85,10.5,24.4,55.9,65.8,73.4,490.4,2394.3,4151.9,0.47,0.6,0.94,1.06,"2018-03-05","Batería Ambiente","Cálido",94.3,90.6,80.7,72,37.6,132.9,318,358.2,105,110,110,110,1.531,1.555,0.74,1.74,4.58,5.83,127.583,129.583,20.4,50.1,54.9,58.5,59.3,18.6,21.2,"Batería Ambiente","Cálido"
"TRA-11014-1-220718",85,329,1003,1303,82.1,76.9,77,83,13.2,37.5,56.3,74.1,92.5,535.6,2485.3,4405.1,0.14,0.29,0.79,0.93,"2018-12-10","Batería Ambiente","Cálido",94.1,92,74.9,70,29.3,121.7,293.4,330,110,111,109,110,1.578,1.605,4.48,7.26,8.88,9.41,131.5,133.75,22,51,55.8,57.4,57.8,16.8,19.1,"Piso","Cálido"
"TRA-11014-220718",85,329,1003,1303,82.1,76.9,77,83,13.2,37.5,56.3,74.1,92.5,535.6,2485.3,4405.1,0.14,0.29,0.79,0.93,"2018-12-10","Batería Ambiente","Cálido",95.9,95.3,82,77.5,36.7,135.5,327,369.4,112,112,110,109,1.515,1.53,1.13,1.71,4.33,6.04,126.25,127.5,13.8,51.2,56.6,59.7,60.2,19.5,22.2,"Batería Ambiente","Cálido"
"TRA-11015-101218",85,324,929,1327,83,79,80,81,11.1,25.3,56.1,74,77.8,519,2461.7,4443.6,0.14,0.28,0.61,0.71,"2019-04-30","Batería Ambiente","Cálido",95.5,91.8,79.1,76,39.2,136.2,318.3,357.2,112,111,109,109,1.537,1.558,0.63,2.59,7.46,8.92,128.083,129.833,13.5,50.9,56.1,59.6,60.1,19,21.5,"Batería Ambiente","Cálido"
"TRA-11016-300419",75,308,931,1305,81,77,82,85,12.2,27.2,55.7,65.4,85.3,566.5,2504.8,4253.4,0.07,0.16,0.43,0.55,"2019-09-15","Batería Ambiente","Cálido",95.9,91.6,80,75.2,37.6,134.2,322.1,362.9,109,112,109,109,1.534,1.551,0.6,1.88,5.48,7.16,127.833,129.25,17.9,50,55.4,58.7,59.2,18.9,21.5,"Batería Ambiente","Cálido"
"TRA-12009-300816",78,290,983,1290,90,82,85,NA,11.9,27,59.2,72.7,83.3,529,2622.4,4480.2,0.34,0.49,0.66,0.71,"2017-01-17","Batería Ambiente","Cálido",96.7,92.9,83.9,79.4,40.9,140.3,334.1,377,106,105,109,110,1.44,1.463,0.43,1.17,3.97,5.1,120,121.917,9.6,49.5,55,58.6,59.3,19.6,22.4,"Batería Ambiente","Cálido"
"TRA-12010-170117",83,335,1022,NA,87,83,84,87,11.8,27,62.9,72,82.5,531.9,2598.9,4472,0.06,0.17,0.37,0.45,"2017-06-06","Batería Ambiente","Cálido",94.7,90.4,75.5,70.1,38.1,128.6,290.4,321.6,111,107,108,108,1.509,1.535,0.85,11.1,19.57,24.89,125.75,127.917,7.2,48.3,51.9,56.5,56.9,16.4,18.3,"Piso","Cálido"
"TRA-12011-060617",81,333,1027,1318,85,83,85,85,10.8,27.8,60.4,71.3,75.9,512.5,2543.1,4418.6,0.14,0.27,0.42,0.49,"2017-10-24","Batería Ambiente","Cálido",91.7,94,75.6,73.3,33.7,129.1,312.8,351.8,110,111,111,111,1.555,1.576,1.21,2.99,7.09,9,129.583,131.333,12.7,50.7,55.6,58.8,59.6,18.4,21,"Batería Ambiente","Cálido"
"TRA-12011-1-060617",81,333,1027,1318,85,83,85,85,10.8,27.8,60.4,71.3,75.9,512.5,2543.1,4418.6,0.14,0.27,0.42,0.49,"2017-10-24","Batería Ambiente","Cálido",92.6,91.8,80.6,75.4,36.4,128.9,312.3,352.8,109,108,110,108,1.541,1.56,1.1,2.91,6.37,7.36,128.417,130,11,50.8,55.4,58,58.7,18.1,20.7,"Batería Ambiente","Cálido"
"TRA-12012-1-241017",79,325,995,1283,84,82,80,83,10.3,24.9,52.8,63.5,72,490.2,2268.6,4037.2,0.1,0.2,0.39,0.51,"2018-03-11","Batería Ambiente","Cálido",94.4,88,79.8,74.9,38.3,132.6,313.3,353.1,99,112,109,109,1.553,1.57,1.01,2.67,7.11,8.02,129.417,130.833,14.9,48.2,52.8,56.5,57,17.7,20.1,"Batería Ambiente","Cálido"
"TRA-12012-241017",79,325,995,1283,84,82,80,83,10.3,24.9,52.8,63.5,72,490.2,2268.6,4037.2,0.1,0.2,0.39,0.51,"2018-03-11","Batería Ambiente","Cálido",95.3,90.8,80.1,72.6,38.8,135.1,319.8,359.7,105,110,110,110,1.525,1.55,0.91,2,5.04,6.28,127.083,129.167,16.5,50.5,55.2,58.5,59.2,18.7,21.3,"Batería Ambiente","Cálido"
"TRA-12013-110318",81,309,972,1292,89,79,85.2,81,10.6,28.4,62.2,61.7,74.5,521.9,2553.3,4423.6,0.09,0.25,0.41,0.49,"2018-07-29","Batería Ambiente","Cálido",95.5,92.1,80.7,73.9,35.6,132.6,321.1,361.9,106,108,109,109,1.507,1.529,0.79,1.71,4.54,5.59,125.583,127.417,12.1,51.3,55.8,58.7,59.2,18.8,21.4,"Batería Ambiente","Cálido"
"TRA-12014-290718",84,326,1014,1320,64.6,73,86,87,12,29,56,69.1,84.3,554.6,2497.2,4376.9,0.11,0.24,0.54,0.63,"2018-12-17","Batería Ambiente","Cálido",97.2,93.2,74.5,69.9,31.3,122.4,290.8,326.1,115,113,111,111,1.596,1.624,3.34,9.7,11.99,13.41,133,135.333,18.5,50.5,54.6,56.9,57.4,16.5,18.7,"Piso","Cálido"
"TRA-12015-171218",84,314,968,1340,74,81,84,82,11.3,27.1,59.6,71.3,78.8,535,2528.2,4477.1,0.07,0.22,0.69,0.84,"2019-05-06","Batería Ambiente","Cálido",94.7,90,81,77,34.4,131.1,315.8,357,112,110,109,110,1.556,1.569,0.74,2.45,5.99,7.33,129.667,130.75,16.3,52.3,57.6,60.6,61,19.1,21.8,"Batería Ambiente","Cálido"
"TRA-12017-220919",76,295,972,1292,73,81,83,80,10.9,26,56,59.2,76.4,502.5,2452.7,4268.5,0.11,0.36,0.61,0.76,"2020-02-11","Batería Automática","Cálido",96.2,94.2,NA,NA,33,132.4,NA,NA,109,108,NA,NA,NA,NA,0.59,1.41,NA,NA,NA,NA,16.6,50.7,56.6,0,0,NA,NA,"Batería Ambiente","Cálido"
"TRA-23008-1 P-130616",80,323,1018,1284,77,82,81,84,11.8,25.8,54.2,70.9,82.4,511.1,2484.9,4428,0.1,0.27,0.69,0.84,"2016-11-01","Batería Ambiente","Cálido",NA,90.6,77.6,71.7,NA,126.6,302.3,340.4,NA,110,110,111,1.556,1.577,NA,4.26,10.02,11.28,129.667,131.417,NA,NA,55.5,58.6,59.4,17.7,20.2,"Jaula Tradicional","Cálido"
"TRA-23008-130616",80,323,1018,1284,77,82,81,84,11.8,25.8,54.2,70.9,82.4,511.1,2484.9,4428,0.1,0.27,0.69,0.84,"2016-11-01","Batería Ambiente","Cálido",NA,93.2,84.2,74.2,NA,132.9,324.7,365.8,NA,110,112,111,1.5,1.523,NA,2.14,5.84,7.61,125,126.917,NA,NA,59,61,61.4,19.8,22.5,"Batería Ambiente","Cálido"
"TRA-23009-011116",80,306,980,1330,91,82,86,82.2,12,26.4,52.9,65.7,83.7,527.2,2520.9,4461.8,0.12,0.29,0.62,0.77,"2017-03-20","Batería Ambiente","Cálido",96.5,93.2,81.8,77.2,40,138.1,331.3,373.7,105,109,110,110,1.456,1.478,0.4,1.17,3.96,5.19,121.333,123.167,10,52.2,56.4,59.7,60.2,19.8,22.5,"Batería Ambiente","Cálido"
"TRA-23010-1-200317",84,319,974,1326,84,82,86,85,11.5,24.5,57.6,65.5,80.8,505.1,2579.1,4420.4,0.12,0.22,0.5,0.64,"2017-08-08","Batería Ambiente","Cálido",96.1,89.2,81.7,77.7,42.2,137.7,326.4,367.7,112,112,110,109,1.482,1.503,0.84,2.35,5.45,7.07,123.5,125.25,9.8,49,54,57.9,58.4,18.9,21.5,"Jaula Tradicional","Cálido"
"TRA-23010-200317",84,319,974,1326,84,82,86,85,11.5,24.5,57.6,65.5,80.8,505.1,2579.1,4420.4,0.12,0.22,0.5,0.64,"2017-08-08","Batería Ambiente","Cálido",93.4,99.7,79.3,75.2,34.7,131.7,321.6,361.7,110,111,111,109,1.52,1.541,0.85,2.83,5.85,7.18,126.667,128.417,16.3,50.3,56.1,59.7,59.9,19.2,21.7,"Batería Ambiente","Cálido"
"TRA-23011-080817",82,305,999,1267,91,78,83,83,10.1,22.9,60.2,68.8,70.9,480.2,2426.3,4249.3,0.05,0.18,0.38,0.52,"2017-12-23","Batería Ambiente","Cálido",96.9,93.3,83.9,74.7,41.3,140.7,335.7,378.3,110,108,109,109,1.464,1.485,0.41,1,3.48,4.68,122,123.75,18.1,50.8,55.3,58.7,59.4,19.7,22.5,"Batería Ambiente","Cálido"
"TRA-23011-1-080817",82,305,999,1267,91,78,83,83,10.1,22.9,60.2,68.8,70.9,480.2,2426.3,4249.3,0.05,0.18,0.38,0.52,"2017-12-23","Batería Ambiente","Cálido",96.6,92.1,81.8,74.7,41.2,140.5,335.3,377.3,112,108,109,109,1.48,1.502,0.37,0.95,3.07,4.03,123.333,125.167,13.5,52.4,56,59.1,59.7,19.8,22.5,"Batería Automática","Cálido"
"TRA-23012-1-231217",84,293,998,1307,82,81,83,83,10.5,25.3,61.5,68.9,73.7,512.6,2591.2,4520.1,0.12,0.28,0.45,0.56,"2018-03-13","Batería Ambiente","Cálido",91.4,85.9,76.9,71.8,32.8,121.8,295.6,332.6,101,112,109,109,1.581,1.603,3.5,5.8,9.77,10.9,131.75,133.583,24.9,49.4,53.3,57.2,57.8,16.9,19.2,"Jaula Tradicional","Cálido"
"TRA-23012-231217",84,293,998,1307,82,81,83,83,10.5,25.3,61.5,68.9,73.7,512.6,2591.2,4520.1,0.12,0.28,0.45,0.56,"2018-03-13","Batería Ambiente","Cálido",95,91.1,78.1,71.1,38.2,133.6,315.3,354.3,108,110,110,108,1.528,1.551,2.09,3.21,6.37,8.12,127.333,129.25,17.3,49,54.7,58.5,59.3,18.4,21,"Batería Ambiente","Cálido"
"TRA-23014-300918",88,334,1010,1339,79,82,82,82,10.8,26.4,56.3,65.7,75.6,520.3,2454.4,4312.5,0.14,0.26,0.55,0.69,"2019-02-18","Batería Ambiente","Cálido",97.1,93.1,79.4,73.5,37.7,136.9,323,363.2,112,111,110,109,1.535,1.556,0.49,1.53,4.7,5.47,127.917,129.667,10.4,51.7,56.6,60,60.3,19.4,21.9,"Batería Ambiente","Cálido"
"TRA-23015-180219",85,312,943,1291,86,80,81,82,11.8,26.9,56.8,71.5,82.4,533.8,2453.7,4360.8,0.21,0.39,0.75,0.87,"2019-12-02","Batería Ambiente","Cálido",96,93.8,86.7,80.7,35,134.8,334,379.3,112,110,110,110,1.495,1.504,0.29,0.89,3.2,4.38,124.583,125.333,15,51.8,57.3,60.1,60.6,20.1,23,"Batería Ambiente","Cálido"
"TRA-23017-021219",82,293,919,1250,79,76,81,83,11.3,27,56.5,70.5,79.4,529.2,2459.3,4368.9,0.08,0.26,0.55,0.65,"2020-04-21","Batería Ambiente","Cálido",96.6,94.4,NA,NA,35,134.6,NA,NA,107,110,NA,NA,NA,NA,0.5,1.5,NA,NA,NA,NA,12.8,50.8,56,0,0,NA,NA,"Batería Ambiente","Cálido"
"TRA-24008-1 P-200616",78,317,1018,1293,79,81,80,84,11.1,26.5,59,74.3,77.7,502,2516.3,4478.8,0.07,0.25,0.56,0.64,"2016-11-08","Batería Ambiente","Cálido",NA,91.9,78.8,72.6,NA,134.5,312.5,351.6,NA,111,112,110,1.54,1.564,NA,1.53,7.87,8.66,128.333,130.333,NA,NA,56.9,59.5,60,18.6,21.1,"Jaula Tradicional","Cálido"
"TRA-24008-200616",78,317,1018,1293,79,81,80,84,11.1,26.5,59,74.3,77.7,502,2516.3,4478.8,0.07,0.25,0.56,0.64,"2016-11-08","Batería Ambiente","Cálido",NA,92.1,81.9,73.9,NA,134.7,324.6,365.2,NA,110,112,111,1.503,1.527,NA,2.04,6.22,8.05,125.25,127.25,NA,NA,56.4,60.1,60.6,19.5,22.1,"Batería Ambiente","Cálido"
"TRA-24009-081116",78,303,963,1314,87,82,84,85,12.3,26.9,60.1,69.6,86.1,523.9,2548.8,4475.3,0.04,0.15,0.31,0.43,"2017-03-28","Batería Ambiente","Cálido",94.7,91.9,82,77.6,40.2,137.5,328.4,371,101,102,109,104,1.448,1.467,0.45,1.39,4.47,5.62,120.667,122.25,10.3,51.8,56.5,59.3,60,19.5,22.3,"Batería Ambiente","Cálido"
"TRA-24010-1-280317",82,337,986,1314,81,81,88,84,11.4,27,65.4,42.4,79.5,510.6,2617.7,4292.6,0.12,0.24,0.4,0.58,"2017-08-15","Batería Ambiente","Cálido",94.7,89.2,80.9,75.5,39.7,135.2,320.2,360.4,112,97,109,109,1.484,1.507,1.06,2.99,6.66,8.32,123.667,125.583,2.8,49.4,53.5,57.4,57.8,18.4,20.8,"Jaula Tradicional","Cálido"
"TRA-24010-280317",82,337,986,1314,81,81,88,84,11.4,27,65.4,42.4,79.5,510.6,2617.7,4292.6,0.12,0.24,0.4,0.58,"2017-08-15","Batería Ambiente","Cálido",95.1,92.4,79.6,75.4,39.1,134.8,321.8,362,112,108,109,109,1.527,1.548,0.74,2.29,5.41,6.84,127.25,129,9.4,49.7,55.1,58.8,59.2,18.9,21.4,"Batería Ambiente","Cálido"
"TRA-24011-150817",81,324,998,1275,83,81,82,84,11.2,25.7,61.3,72,78.2,515.5,2498.2,4421.9,0.06,0.17,0.38,0.5,"2018-01-01","Batería Ambiente","Cálido",96.7,92.8,81.9,74.8,40.8,140.2,335.5,377.8,112,110,109,109,1.488,1.509,0.34,0.82,2.72,3.8,124,125.75,13.8,52.2,55.9,59.2,59.8,19.9,22.6,"Batería Ambiente","Cálido"
"TRA-24012-010118",83,308,958,1294,84,85,84,83,11,26.7,58.3,64.9,77,503.7,2532.4,4460.2,0.15,0.32,0.52,0.66,"2018-05-20","Batería Ambiente","Cálido",91.1,91.6,79.2,69,36.4,131.3,313.2,351.6,111,110,109,109,1.543,1.566,2.1,3.41,7.61,9.4,128.583,130.5,20.2,49.1,54.8,58.5,59.3,18.3,20.8,"Batería Ambiente","Cálido"
"TRA-24012-1-010118",83,308,958,1294,84,85,84,83,11,26.7,58.3,64.9,77,503.7,2532.4,4460.2,0.15,0.32,0.52,0.66,"2018-05-20","Batería Ambiente","Cálido",93.2,89.6,75.2,68.4,37.6,131.7,310.5,347.4,112,112,109,110,1.579,1.607,1.47,3.13,6.87,9.07,131.583,133.917,23.3,49.3,53.2,57.3,58,17.8,20.1,"Batería Ambiente","Cálido"
"TRA-24014-071018",86,327,1008,1334,77,84,82,82,9.6,28.6,55.6,66,67.5,507.1,2444.3,4251.7,0.11,0.27,0.6,0.71,"2019-02-25","Batería Ambiente","Cálido",96.4,91.3,79.5,72.4,39.6,138.5,322.9,362.5,110,107,109,109,1.527,1.551,0.52,2.04,5.48,6.85,127.25,129.25,12.6,51.2,56.5,59.7,60.3,19.3,21.9,"Batería Ambiente","Cálido"
"TRA-24015(1)-250219",84,305,945,1296,77,84,82,82,9.6,28.6,55.6,66,67.5,507.1,2444.3,4251.7,0.11,0.27,0.6,0.71,"2019-02-25","Batería Automática","Cálido",95.4,93.7,86.8,81.3,38.5,137.2,335.7,380.4,112,110,110,110,1.485,1.497,0.5,1.17,3.58,4.91,123.75,124.75,10.7,51.2,56.1,58.9,59.3,19.8,22.6,"Batería Ambiente","Cálido"
"TRA-24015-250219",84,305,945,1296,78,86,83,84,10.5,27,56.2,72.3,73.2,538.2,2451.8,4363,0.09,0.28,0.68,0.84,"2019-07-15","Batería Ambiente","Cálido",95.7,93.8,87.1,81.5,35.6,135.2,334.3,379,112,110,110,110,1.49,1.501,0.48,1.2,3.68,4.99,124.167,125.083,16.2,49.7,55.6,58.5,59,19.6,22.4,"Batería Ambiente","Cálido"
"VN-525-141216",70,252,927,1251,77,64,66.6,88.1,15.2,21.8,61.2,77.3,106.3,530.4,2523.5,4608.2,0.47,0.64,0.79,1.39,"2017-09-29","Batería Ambiente","Frío",96.8,94.1,80.9,74.5,27.5,128,319.4,361.1,108,110,110,110,1.488,1.514,0.49,0.98,3.03,3.92,124,126.167,13,52.8,57.5,60,60.4,19.2,21.8,"Batería Automática","Frío"
"VN-537-290917",82,265,946,1296,89.5,75,93.5,91.5,12.6,19.1,55.6,68.5,88.5,475.1,2206.2,4006.2,0.12,0.23,0.3,0.43,"2017-11-15","Jaula Tradicional","Frío",96.4,93.8,81.2,74.6,29.9,129.9,325.5,367.9,104,113,109,114,1.524,1.545,0.19,0.75,2.09,2.97,127,128.75,16.3,54.4,58.9,61.4,61.8,20,22.7,"Jaula Tradicional","Frío"
"VN-540A-151117",83,271,943,1291,82.01666667,74.83333333,77.83333333,81.66666667,10,23.95,57.23333333,80.11666667,69.93333333,514.8833333,2468.583333,7721.366667,0.526666667,0.81,1.665,1.906666667,"2019-06-17","Jaula Tradicional","Frío",95.9,93,79.5,73.8,29.4,128.4,319.7,361.2,113,114,111,113,1.534,1.558,0.82,1.22,2.59,3.53,127.833,129.833,17,53,57.2,59.7,60.2,19.1,21.7,"Batería Automática","Frío"
